category,商品名称,平均评分,评价次数,images,ssid,型号,上市时间_年,零售价_元,重量_kg,品牌,颜色,镜头焦距_mm,外形尺寸_cm,对焦马达,光圈叶片_片,防尘防雨,最近对焦距离_cm,最大放大倍率_倍,镜头类型,镜头卡口,画幅,最大光圈_F,最小光圈_F
镜头,富士 XF 16mm F2.8 R WR 定焦镜头,4.7,226,"[{'thumb': 'https://m.media-amazon.com/images/I/41YqholBY0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41YqholBY0L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/6196mMrcWJL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41OJA9+JjbL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41OJA9+JjbL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/51FrjOgdfQL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41mpRz5qPXL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41mpRz5qPXL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/51flD-yN4mL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/314LJq62diL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/314LJq62diL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51KPrgoYTYL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51MQ33PQtHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51MQ33PQtHL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/61cPlJtg5mL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51aCYzAnGTL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51aCYzAnGTL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/61juI1mryOL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51u6xNxstUL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51u6xNxstUL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/61mL9XIWsNL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/513ZR3QKSDL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/513ZR3QKSDL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/61ZC1jR1MxL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41+oJEaSi-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41+oJEaSi-L._AC_.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/515AEP+nDOL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41AHn0UYcTL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41AHn0UYcTL._AC_.jpg', 'variant': 'PT09', 'hi_res': 'https://m.media-amazon.com/images/I/517G43lwEyL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31-4kUKMYyL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31-4kUKMYyL._AC_.jpg', 'variant': 'PT10', 'hi_res': 'https://m.media-amazon.com/images/I/51yg9+U0vwL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41UYFLtiPtL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41UYFLtiPtL._AC_.jpg', 'variant': 'PT11', 'hi_res': 'https://m.media-amazon.com/images/I/51wkXmIVNAL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31PP138yIvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31PP138yIvL._AC_.jpg', 'variant': 'PT12', 'hi_res': 'https://m.media-amazon.com/images/I/41Jvc8CulyL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/414Mjy6ZvhL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/414Mjy6ZvhL._AC_.jpg', 'variant': 'PT13', 'hi_res': 'https://m.media-amazon.com/images/I/51MjrOQEPeL._AC_SL1000_.jpg'}]",B07NSPQ8ZK,Fujinon XF16mmF2.8 R WR,2019,2999,0.41,富士,黑色,16,6.0x6.0x4.5,步进马达（STM）,9,True,17,0.13,定焦镜头,富士X卡口,APS-C,2.8,22.0
镜头,富士 XF 70-300mm F4-5.6 R LM OIS WR 变焦镜头,4.6,189,"[{'thumb': 'https://m.media-amazon.com/images/I/41aihrafj2L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41aihrafj2L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71Jo21TbAML._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41OqZPd2OHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41OqZPd2OHL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71bJuWbTTHL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ZZv8f6MLL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZZv8f6MLL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/718GAWZ0A7L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51r+lB79mHL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51r+lB79mHL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81QeX+wUDpL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ZaH1NIuIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ZaH1NIuIL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71seGfuCYhL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51E+CUIKgIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51E+CUIKgIL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81bgASXpmtL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41vGt+T4IcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41vGt+T4IcL._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71TCe3FzFeL._AC_SL1500_.jpg'}]",B08TMZ59ZW,Fujinon XF70-300mmF4-5.6 R LM OIS WR,2021,5999,0.79,富士,黑色,70-300,13.25x7.5x7.5,线性马达（LM）,9,True,83,0.33,变焦镜头,富士X卡口,APS-C,4.0,22.0
镜头,富士 XF 18-55mmF2.8-4 R LM OIS 变焦镜头,4.5,371,"[{'thumb': 'https://m.media-amazon.com/images/I/41R0PMQNHyL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41R0PMQNHyL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61V+zw5nPJL._AC_SL1012_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41kh1jISi7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41kh1jISi7L._AC_.jpg', 'variant': 'FRNT', 'hi_res': 'https://m.media-amazon.com/images/I/81CQarHcl2L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51UK4PSk-NL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51UK4PSk-NL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71SJJgY7sOL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41KsiU4A26L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41KsiU4A26L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/71VtfhvSkhL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/514cR7ySXGL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/514cR7ySXGL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/71FdiWky7bL._AC_SL1373_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Ot9UMHKXL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Ot9UMHKXL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71KKK9pq0lL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31sLALuBNxL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31sLALuBNxL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/516jzxiC75L._AC_SL1221_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/317aZGDN7eL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/317aZGDN7eL._AC_.jpg', 'variant': 'PT12', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41lrfQKJYxS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41lrfQKJYxS._AC_.jpg', 'variant': 'PT99', 'hi_res': 'https://m.media-amazon.com/images/I/71+KQhUExwS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41H5N7kv7pL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41H5N7kv7pL._AC_.jpg', 'variant': 'AW01', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/41bSpVLsGAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41bSpVLsGAL._AC_.jpg', 'variant': 'AW02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51DwOjvPIvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51DwOjvPIvL._AC_.jpg', 'variant': 'AW03', 'hi_res': None}]",B0B5G2W9XT,Fujinon XF18-55mmF2.8-4 R LM OIS,2012,4999,0.31,富士,黑色,18-55,6.5x6.5x7.0,线性马达（LM）,7,False,30,0.15,变焦镜头,富士X卡口,APS-C,2.8,22.0
镜头,富士 XF 16-80mm F4 R OIS WR 变焦镜头,4.4,141,"[{'thumb': 'https://m.media-amazon.com/images/I/41zrEoxDRCL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41zrEoxDRCL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61NwKrSWrcL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41h0XeDxq-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41h0XeDxq-L._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61ya8GQi2+L._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41KJaGyzWAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41KJaGyzWAL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61MS9WYFEdL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41nl6cRN5GL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41nl6cRN5GL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/61+oM5FK0dL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51kBTj1qOgL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51kBTj1qOgL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71chE4dcBcL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/519l1eaE84L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/519l1eaE84L._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/71Sf5nuRT5L._AC_SL1200_.jpg'}]",B07TWYSHYB,Fujinon XF16-80mmF4 R OIS WR,2019,6999,0.44,富士,黑色,16-80,7.8x7.8x8.9,步进马达（STM）,9,True,35,0.25,变焦镜头,富士X卡口,APS-C,4.0,22.0
镜头,富士 XF 18-135mm F3.5-5.6 R LM OIS WR 变焦镜头,3.8,9,"[{'thumb': 'https://m.media-amazon.com/images/I/41rP3iVZKcL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41rP3iVZKcL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/61A+OKYSs9L._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41HXAo9V7zL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41HXAo9V7zL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/61GJZAnAVrL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51Povx5zGJL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51Povx5zGJL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61A-2-IeeUL._AC_SL1000_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41UgYRAY32L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41UgYRAY32L._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51BU2F5oLqL._AC_SL1000_.jpg'}]",B00SVMXFQK,Fujinon XF18-135mmF3.5-5.6 R LM OIS WR,2014,4999,0.49,富士,黑色,18-135,9.8x7.5x7.5,线性马达（LM）,7,True,45,0.27,变焦镜头,富士X卡口,APS-C,3.5,22.0
镜头,富士 XF 16mm F1.4 R WR 定焦镜头,4.8,533,"[{'thumb': 'https://m.media-amazon.com/images/I/5150ZPvpISL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/5150ZPvpISL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81xXYNJovzL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/417XWdZdkgL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/417XWdZdkgL._AC_.jpg', 'variant': 'FRNT', 'hi_res': 'https://m.media-amazon.com/images/I/91PTRePp2LL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/415K+K61UvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/415K+K61UvL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81PxqDy5BmL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51T8tyJTeKL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51T8tyJTeKL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/81xmjJ+wEJL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/518E-pufhZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/518E-pufhZL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/915A26jG6BL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41Q2unYFOCL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41Q2unYFOCL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/81ix4t7V-LL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41QRETPSLZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41QRETPSLZL._AC_.jpg', 'variant': 'PT06', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/31+MYu1ir7L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31+MYu1ir7L._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/51jYBePdOkL._AC_SL1172_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/312G8qiQnrL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/312G8qiQnrL._AC_.jpg', 'variant': 'PT10', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/419kEjc1mxL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/419kEjc1mxL._AC_.jpg', 'variant': 'PT99', 'hi_res': 'https://m.media-amazon.com/images/I/81EkaZ8QKsL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51gjbCNnM6L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51gjbCNnM6L._AC_.jpg', 'variant': 'AW01', 'hi_res': 'https://m.media-amazon.com/images/I/61kui04s0jL._AC_SL1200_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41u846BqeZL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41u846BqeZL._AC_.jpg', 'variant': 'AW02', 'hi_res': None}, {'thumb': 'https://m.media-amazon.com/images/I/51TlBdRbEfL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51TlBdRbEfL._AC_.jpg', 'variant': 'AW03', 'hi_res': 'https://m.media-amazon.com/images/I/7146gf5r5iL._AC_SL1500_.jpg'}]",B09J21RPT5,Fujinon XF16mmF1.4 R WR,2015,6999,0.38,富士,黑色,16,7.3x7.3x7.3,线性马达（LM）,9,True,15,0.21,定焦镜头,富士X卡口,APS-C,1.4,16.0
镜头,富士 XF 18mm F1.4 R LM WR 定焦镜头,4.8,62,"[{'thumb': 'https://m.media-amazon.com/images/I/41ar2dwHB4L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ar2dwHB4L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71yhh3lxADL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41pslZkW4vL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41pslZkW4vL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71DXODeSUVL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41NVf9agJ8L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41NVf9agJ8L._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/619PEP--nFL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51jzAWPm+1S._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51jzAWPm+1S._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/81RYvl6vDOS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41ikmaqSyBL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41ikmaqSyBL._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/711uOBlS4aL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51oYLnWlLvL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51oYLnWlLvL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81idnHQJdiL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/416tgRFI4dS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/416tgRFI4dS._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/71YJjqJ+ToS._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51EVMsR3-eL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51EVMsR3-eL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/719nhR5OcCL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41U4bWMXnIS._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41U4bWMXnIS._AC_.jpg', 'variant': 'PT08', 'hi_res': 'https://m.media-amazon.com/images/I/71qGL0Mz-7S._AC_SL1500_.jpg'}]",B0923F7V45,Fujinon XF18mmF1.4 R LM WR,2021,6999,0.37,富士,黑色,18,6.8x6.8x7.6,线性马达（LM）,9,True,20,0.15,定焦镜头,富士X卡口,APS-C,1.4,16.0
镜头,富士 XF 100-400mm F4.5-5.6 R LM OIS WR 变焦镜头,4.6,144,"[{'thumb': 'https://m.media-amazon.com/images/I/41FzIbtuziL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41FzIbtuziL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81PFjgYGuXL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41VbRC5EaoL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41VbRC5EaoL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/81xcpqUNHEL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41kvwWwG9aL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41kvwWwG9aL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/81mJn0-S3kL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51B8q1wctPL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51B8q1wctPL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/91oN7QsHVJL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/51UJpk+e-3L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/51UJpk+e-3L._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/91u9Q+0sfgL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/4121Uqvb6QL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/4121Uqvb6QL._AC_.jpg', 'variant': 'PT05', 'hi_res': 'https://m.media-amazon.com/images/I/81SpUo6FenL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31APR0-CK2L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31APR0-CK2L._AC_.jpg', 'variant': 'PT06', 'hi_res': 'https://m.media-amazon.com/images/I/81Wf4uS4-+L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41owSrSO0hL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41owSrSO0hL._AC_.jpg', 'variant': 'PT07', 'hi_res': 'https://m.media-amazon.com/images/I/81ZCDpICufL._AC_SL1500_.jpg'}]",B019Y5UBT6,Fujinon XF100-400mmF4.5-5.6 R LM OIS WR,2016,12999,1.37,富士,黑色,100-400,9.4x9.4x21.1,线性马达（LM）,9,True,175,0.19,变焦镜头,富士X卡口,APS-C,4.5,22.0
镜头,富士 XF 8-16mm F2.8 R LM WR 变焦镜头,4.5,40,"[{'thumb': 'https://m.media-amazon.com/images/I/41-gu614D-L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41-gu614D-L._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/81Sq7-HjXeL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41O935PUvbL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41O935PUvbL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/715XwZ2ad7L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31erDFbFlIL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31erDFbFlIL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/812fO4immzL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/21fejk5k0nL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/21fejk5k0nL._AC_.jpg', 'variant': 'PT12', 'hi_res': None}]",B07FQ83W5W,Fujinon XF8-16mmF2.8 R LM WR,2018,12999,1.25,富士,黑色,8-16,8.8x8.8x12.1,线性马达（LM）,9,True,25,0.1,变焦镜头,富士X卡口,APS-C,2.8,22.0
镜头,富士 XF 30mm F2.8 R LM WR Macro 微距镜头,4.8,11,"[{'thumb': 'https://m.media-amazon.com/images/I/41mw-gP3nAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41mw-gP3nAL._AC_.jpg', 'variant': 'MAIN', 'hi_res': 'https://m.media-amazon.com/images/I/71os5QAohXL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41eR3GN5sAL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41eR3GN5sAL._AC_.jpg', 'variant': 'PT01', 'hi_res': 'https://m.media-amazon.com/images/I/71HiZCSBBaL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/41b1+47JkxL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/41b1+47JkxL._AC_.jpg', 'variant': 'PT02', 'hi_res': 'https://m.media-amazon.com/images/I/61NXKuWRYdL._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/31Vv2wC03yL._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/31Vv2wC03yL._AC_.jpg', 'variant': 'PT03', 'hi_res': 'https://m.media-amazon.com/images/I/51Hbp2tuY-L._AC_SL1500_.jpg'}, {'thumb': 'https://m.media-amazon.com/images/I/415IM2OsJ0L._AC_US40_.jpg', 'large': 'https://m.media-amazon.com/images/I/415IM2OsJ0L._AC_.jpg', 'variant': 'PT04', 'hi_res': 'https://m.media-amazon.com/images/I/71ybTBNzWtL._AC_SL1500_.jpg'}]",B0BK2P7PNK,Fujinon XF30mmF2.8 R LM WR Macro,2022,4999,0.2,富士,黑色,30,6.9x5.9x5.9,线性马达（LM）,9,True,10,1.0,定焦镜头,富士X卡口,APS-C,2.8,22.0
